number,bank_name,assets,loans,liabilities,deposits,equity,net_income,year
1.0,"""Halyk Bank of Kazakhstan"", JSC",13862789955.0,8087487621.0,11976108268.0,5137146018.0,1886681687.0,539280069.0,2023
2.0,"""Kaspi Bank"", JSC",5086784318.0,3380024868.0,4542689952.0,3699473064.0,544094366.0,361709053.0,2023
3.0,"""Bank CenterCredit"", JSC",4346622613.0,2161666091.0,4072047714.0,1888551275.0,274574899.0,145004425.0,2023
4.0,"""Otbasy bank"", JSC",3440104965.0,2984577792.0,2977843722.0,2187315404.0,462261242.0,96035130.0,2023
5.0,"""ForteBank"", JSC",2914126826.0,1275636947.0,2586495445.0,776167011.0,327631382.0,92904022.0,2023
6.0,"""First Heartland Jusan Bank"", JSC ",2843661507.0,1139776680.0,2321466900.0,651730329.0,522194607.0,82522860.0,2023
7.0,"""Eurasian Bank"", JSC",2360045578.0,1152973628.0,2164593675.0,854819466.0,195451903.0,82582381.0,2023
8.0,"""Bank RBK"" Bank"", JSC",1984418179.0,945226623.0,1862824106.0,462388397.0,121594073.0,38686436.0,2023
9.0,"""Bereke Bank"", JSC",1694922688.0,1324575404.0,1564134032.0,205727957.0,130788657.0,-128975021.0,2023
10.0,"""Citibank Kazakhstan"", JSC ",1334705356.0,124626523.0,1202570853.0,3134.0,132134503.0,100197551.0,2023
11.0,"""Bank Freedom Finance Kazakhstan"", JSC",1264198200.0,343481254.0,1194737052.0,309293225.0,69461148.0,19075418.0,2023
12.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",981451106.0,337306001.0,886515066.0,321693910.0,94936040.0,24270074.0,2023
13.0,"""Home Credit Bank"", Joint Stock Company",551954564.0,442557580.0,422606351.0,216777593.0,129348213.0,15328226.0,2023
14.0,"Subsidiary Bank ""Bank of China in Kazakhstan"", JSC",550684248.0,26422739.0,471111003.0,2740347.0,79573245.0,16779793.0,2023
15.0,"""Nurbank"", JSC",468758948.0,270340295.0,419162082.0,151345395.0,49596866.0,5992861.0,2023
16.0,"""Industrial and Commercial Bank of China in Almaty"", JSC",290361506.0,6373447.0,241198570.0,6971655.0,49162936.0,12834423.0,2023
17.0,"Subsidiary JSC ""Bank VTB (Kazakhstan)"" ",192889251.0,99055608.0,147964351.0,17091924.0,44924901.0,-33615846.0,2023
18.0,"SB ""KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK"", JSC",171056372.0,78944779.0,112407280.0,18418213.0,58649092.0,-10895533.0,2023
19.0,"""Shinhan Bank Kazakhstan"", JSC",126385913.0,22453969.0,106115110.0,11418398.0,20270803.0,3371589.0,2023
20.0,"""Al-Hilal"" Islamic Bank"", JSC",60315857.0,33092671.0,39308069.0,2037946.0,21007788.0,3122823.0,2023
21.0,"""Islamic bank ""Zaman-Bank"", JSC",36090236.0,18060913.0,22737815.0,192613.0,13352421.0,334582.0,2023
1.0,"""Halyk Bank of Kazakhstan"", JSC",14943264219.0,9538649103.0,12548272708.0,5697023282.0,2394991511.0,673757575.0,2024
2.0,"""Kaspi Bank"", JSC",6688923342.0,4545664717.0,5933222176.0,5052073784.0,755701166.0,475579980.0,2024
3.0,"""Bank CenterCredit"", JSC",5260803086.0,3074094927.0,4847420562.0,2221221212.0,413382524.0,130515999.0,2024
4.0,"""Otbasy bank"", JSC",3996033887.0,3213567923.0,3401391556.0,2430239515.0,594642331.0,146900472.0,2024
5.0,"""ForteBank"", JSC",3444410186.0,1624803018.0,3021030300.0,920551187.0,423379886.0,126745630.0,2024
6.0,"""First Heartland Jusan Bank"", JSC ",2869282945.0,1239682187.0,2205462155.0,736972719.0,663820790.0,140768741.0,2024
7.0,"""Eurasian Bank"", JSC",2758772279.0,1453168952.0,2447501529.0,1056511444.0,311270750.0,97035541.0,2024
8.0,"""Freedom Bank Kazakhstan"", JSC",2210863836.0,640906132.0,2077076935.0,459441919.0,133786902.0,34255905.0,2024
9.0,"""Bereke Bank"" JSC",2076026637.0,1489035487.0,1916096429.0,429992047.0,159930208.0,26217116.0,2024
10.0,"""Bank RBK"" Bank"", JSC",2043613069.0,1125793686.0,1879177272.0,482754120.0,164435797.0,48315017.0,2024
11.0,"""Citibank Kazakhstan"", JSC ",1087021374.0,126270693.0,962948768.0,3130.0,124072607.0,110464765.0,2024
12.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",888696926.0,426162570.0,770722010.0,328044978.0,117974917.0,34003710.0,2024
13.0," ""Home Credit Bank"", Joint Stock Company",802996035.0,614100186.0,646182934.0,324197465.0,156813101.0,26603739.0,2024
14.0,"""Shinhan Bank Kazakhstan"", JSC",475116057.0,48034140.0,429546823.0,8475703.0,45569234.0,25264089.0,2024
15.0,"""Nurbank"", JSC",465708253.0,288306279.0,410244149.0,172743485.0,55464104.0,7053331.0,2024
16.0,"Subsidiary Bank ""Bank of China in Kazakhstan"", JSC",416647689.0,46431391.0,314668310.0,3902343.0,101979379.0,22406134.0,2024
17.0,"""Industrial and Commercial Bank of China in Almaty"", JSC",349496322.0,12646544.0,283654686.0,9122176.0,65841635.0,16678700.0,2024
18.0,"SB ""KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK"", JSC",233011213.0,108206426.0,159155214.0,27186683.0,73855998.0,15112460.0,2024
19.0,"Subsidiary JSC ""Bank VTB (Kazakhstan)"" ",227312981.0,89092790.0,160340672.0,42374219.0,66972309.0,22047401.0,2024
20.0,"""Al-Hilal"" Islamic Bank"", JSC",177999121.0,130500889.0,152654501.0,2356585.0,25344620.0,4336825.0,2024
21.0,"""Islamic bank ""Zaman-Bank"", JSC",25097803.0,18592344.0,12328440.0,129070.0,12769363.0,693910.0,2024
1.0,"""Halyk Bank of Kazakhstan"", JSC",17941741778.0,11739618848.0,253627269.0,559180782.0,7026468274.0,5561631677.0,2025
2.0,"""Kaspi Bank"", JSC",8189804623.0,6047053230.0,328134361.0,298052878.0,6146194422.0,656322264.0,2025
3.0,"""Bank CenterCredit"", JSC",7030812467.0,4009027342.0,41621006.0,173438301.0,2798970431.0,2472635939.0,2025
4.0,"""Otbasy bank"", JSC",4279614316.0,3498262306.0,2912503.0,7379312.0,2515255419.0,157647554.0,2025
5.0,"""ForteBank"", JSC",4112145508.0,1899076280.0,23428188.0,88248794.0,1088239686.0,1829009346.0,2025
6.0,"""First Heartland Jusan Bank"", JSC ",3326262915.0,1347872534.0,142101625.0,191823987.0,824223493.0,868886826.0,2025
7.0,"""Eurasian Bank"", JSC",3142702412.0,1612781668.0,92562268.0,179979939.0,1193794922.0,1052534383.0,2025
8.0,"""Freedom Bank Kazakhstan"", JSC",2547968765.0,796886724.0,11149970.0,21340801.0,585892179.0,467756420.0,2025
9.0,"""Bank RBK"" Bank"", JSC",2452692704.0,1124221963.0,39467414.0,51534418.0,639381506.0,1010343767.0,2025
10.0,"""Bereke Bank"" JSC",2445232022.0,1371587483.0,44941489.0,164860645.0,652730071.0,857293183.0,2025
11.0,"""Citibank Kazakhstan"", JSC ",1174475453.0,152769011.0,0.0,195768.0,2814.0,1029014176.0,2025
12.0," ""Home Credit Bank"", Joint Stock Company",1036276926.0,773711570.0,51018598.0,40442503.0,458539956.0,64348853.0,2025
13.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",1002473946.0,582913261.0,2064977.0,19487314.0,361595454.0,424752568.0,2025
14.0,"""Shinhan Bank Kazakhstan"", JSC",676124209.0,77717037.0,435428.0,304029.0,8665277.0,552976922.0,2025
15.0,"""Nurbank"", JSC",533793102.0,276166156.0,24360107.0,40439858.0,165959128.0,218200544.0,2025
16.0,"Subsidiary Bank ""Bank of China in Kazakhstan"", JSC",477094455.0,58430360.0,0.0,93622.0,3973246.0,305217514.0,2025
17.0,"""Industrial and Commercial Bank of China in Almaty"", JSC",358221019.0,38808750.0,0.0,1483769.0,12325789.0,177420415.0,2025
18.0,"SB ""KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK"", JSC",295840718.0,176800544.0,1114088.0,6407439.0,37680442.0,133419111.0,2025
19.0,"Subsidiary JSC ""Bank VTB (Kazakhstan)"" ",244400004.0,68420179.0,7974710.0,11218861.0,36703676.0,62012284.0,2025
20.0,"""ADCB"" Islamic Bank"", JSC",239724519.0,164202732.0,10527540.0,829989.0,1495907.0,19414221.0,2025
21.0,"""Islamic bank ""Zaman-Bank"", JSC",52017533.0,18723044.0,3434858.0,7718820.0,346650.0,13196902.0,2025
1.0,"""Halyk Bank of Kazakhstan"", JSC",20269148985.0,13232858549.0,495446762.0,586017723.0,7767891158.0,6138166898.0,2026
2.0,"""Kaspi Bank"", JSC",9484289736.0,8068150446.0,490759454.0,364489032.0,7046825772.0,886986061.0,2026
3.0,"""Bank CenterCredit"", JSC",8571447512.0,4729303893.0,53898525.0,210586850.0,3332945439.0,3118332382.0,2026
4.0,"""Otbasy bank"", JSC",5200361015.0,4050318138.0,3095328.0,10579914.0,3114884921.0,89031370.0,2026
5.0,"""ForteBank"", JSC",5171612588.0,2980156945.0,101106539.0,114556140.0,1362019533.0,2385739679.0,2026
6.0,"""Alatau City Bank"", JSC ",3351695235.0,1198300133.0,143258650.0,80115249.0,752419016.0,815406378.0,2026
7.0,"""Eurasian Bank"", JSC",3026705170.0,1598068946.0,73876590.0,127822720.0,1117368895.0,1008811519.0,2026
8.0,"""Bereke Bank"" JSC (SB of Lesha Bank LLC (Public))",2798005998.0,1558317540.0,98286084.0,157621820.0,847829549.0,1078426300.0,2026
9.0,"""Bank RBK"" Bank"", JSC",2727035219.0,1565454093.0,59625741.0,83646473.0,802715659.0,1209740625.0,2026
10.0,"""Freedom Bank Kazakhstan"", JSC",2589541185.0,1078945081.0,15695944.0,28906949.0,882280022.0,589595061.0,2026
11.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",1332565667.0,809477728.0,2201161.0,18031706.0,372350853.0,606842008.0,2026
12.0," ""Home Credit Bank"", Joint Stock Company",1265943242.0,952377671.0,66817412.0,46793170.0,557721434.0,37227145.0,2026
