number,bank_name,assets,loans,liabilities,deposits,equity,net_income,year,ROA,ROE,LDR,EAR,LDR_score,ROA_norm,ROE_norm,EAR_norm,health_score,category
1.0,"""Halyk Bank of Kazakhstan"", JSC",13862789955.0,8087487621.0,11976108268.0,5137146018.0,1886681687.0,539280069.0,2023,0.038901265239577,0.2858352167807944,1.5743153090572712,0.1360968241691865,0.9939161431795076,0.31088400914291575,0.032567849429895,0.1740143499760866,0.2953977244738229,Weak
2.0,"""Kaspi Bank"", JSC",5086784318.0,3380024868.0,4542689952.0,3699473064.0,544094366.0,361709053.0,2023,0.0711076055888713,0.6647910281798434,0.913650352232974,0.1069623424124112,0.9990852779209789,0.3578518022868745,0.04227074520887937,0.134844828466254,0.31013240758159877,Weak
3.0,"""Bank CenterCredit"", JSC",4346622613.0,2161666091.0,4072047714.0,1888551275.0,274574899.0,145004425.0,2023,0.0333602518346811,0.5281051746831381,1.144616044909874,0.0631697120837667,0.998468048304995,0.3028033278675359,0.03877100051293779,0.07596832639045914,0.2807164711374839,Weak
4.0,"""Otbasy bank"", JSC",3440104965.0,2984577792.0,2977843722.0,2187315404.0,462261242.0,96035130.0,2023,0.0279163371400209,0.2077507722354105,1.3644935643675464,0.1343741678533346,0.9961388341514993,0.2948642495214996,0.03056855240213171,0.17169834435151018,0.28907705744872236,Weak
5.0,"""ForteBank"", JSC",2914126826.0,1275636947.0,2586495445.0,776167011.0,327631382.0,92904022.0,2023,0.0318805692226931,0.2835626472436026,1.643508328647583,0.1124286627050184,0.9931831652882235,0.30064544758418704,0.0325096618927031,0.14219396040099727,0.28691085717029463,Weak
6.0,"""First Heartland Jusan Bank"", JSC ",2843661507.0,1139776680.0,2321466900.0,651730329.0,522194607.0,82522860.0,2023,0.0290199307466308,0.1580308545775541,1.7488470756744543,0.1836345872089761,0.9920672872253289,0.2964736641792375,0.029295509042820723,0.23792595298523722,0.2985181966593053,Weak
7.0,"""Eurasian Bank"", JSC",2360045578.0,1152973628.0,2164593675.0,854819466.0,195451903.0,82582381.0,2023,0.0349918585343524,0.42252021971871,1.3487919658582035,0.0828170035451747,0.9963051648685761,0.3051827651190626,0.03606757234787977,0.10238290317724562,0.28424082832030306,Weak
8.0,"""Bank RBK"" Bank"", JSC",1984418179.0,945226623.0,1862824106.0,462388397.0,121594073.0,38686436.0,2023,0.0194951025995413,0.3181605406046395,2.044226518512747,0.0612744200223334,0.9889382634824395,0.2825832266662383,0.03339551650518471,0.0734202226078867,0.269946333023547,Weak
9.0,"""Bereke Bank"", JSC",1694922688.0,1324575404.0,1564134032.0,205727957.0,130788657.0,-128975021.0,2023,-0.0760949286437305,-0.9861330788036152,6.4384803276882785,0.0771649691906183,0.9423889018577063,0.14318046418636765,0.0,0.09478409009131779,0.20568911125758227,Weak
11.0,"""Bank Freedom Finance Kazakhstan"", JSC",1264198200.0,343481254.0,1194737052.0,309293225.0,69461148.0,19075418.0,2023,0.0150889457048744,0.2746199645303875,1.1105359776309358,0.0549448243163136,0.9988290664538899,0.27615755199025555,0.032280690820771236,0.06491046989543865,0.26751431543625864,Weak
12.0,"""Altyn Bank"", JSC (SB of China Citic Bank Corporation Limited)",981451106.0,337306001.0,886515066.0,321693910.0,94936040.0,24270074.0,2023,0.0247287652452856,0.2556465805820423,1.0485308876378792,0.0967302797048353,0.9994859009204458,0.2902156860473604,0.03179489073145267,0.12108844852923499,0.28078985429003667,Weak
13.0,"""Home Credit Bank"", Joint Stock Company",551954564.0,442557580.0,422606351.0,216777593.0,129348213.0,15328226.0,2023,0.0277708112220628,0.1185035776257689,2.0415282496470932,0.2343457621993682,0.9889668468776285,0.29465202325991224,0.028283441046622722,0.30610401347581456,0.3072880415603037,Weak
14.0,"Subsidiary Bank ""Bank of China in Kazakhstan"", JSC",550684248.0,26422739.0,471111003.0,2740347.0,79573245.0,16779793.0,2023,0.0304708062032673,0.2108722975919858,9.642114301582977,0.1444988580824632,0.908452055503334,0.29858953383676107,0.030648476853202898,0.18531036858523525,0.27929766735477274,Weak
15.0,"""Nurbank"", JSC",468758948.0,270340295.0,419162082.0,151345395.0,49596866.0,5992861.0,2023,0.0127845260886625,0.1208314452772076,1.7862472459105876,0.1058046277550738,0.9916710984468124,0.272796924775947,0.02834304445295601,0.13328835220724933,0.2741429068282253,Weak
16.0,"""Industrial and Commercial Bank of China in Almaty"", JSC",290361506.0,6373447.0,241198570.0,6971655.0,49162936.0,12834423.0,2023,0.0442015306257572,0.2610589204843258,0.9141942623379958,0.1693163004878477,0.999091039688339,0.3186135979619587,0.03193346987026681,0.21867589580593752,0.3053565140654204,Weak
17.0,"Subsidiary JSC ""Bank VTB (Kazakhstan)"" ",192889251.0,99055608.0,147964351.0,17091924.0,44924901.0,-33615846.0,2023,-0.1742753721408768,-0.748267558786607,5.795462699225669,0.232905155508121,0.9492005384672905,0.0,0.006090378563184486,0.30416720625023574,0.1901367942047435,Weak
18.0,"SB ""KAZAKHSTAN-ZIRAAT INTERNATIONAL BANK"", JSC",171056372.0,78944779.0,112407280.0,18418213.0,58649092.0,-10895533.0,2023,-0.0636955693179322,-0.185774964768423,4.286234446305947,0.3428641173332029,0.9651881474608196,0.16126294538775854,0.02049260397321208,0.45200027760407213,0.2761927060360735,Weak
19.0,"""Shinhan Bank Kazakhstan"", JSC",126385913.0,22453969.0,106115110.0,11418398.0,20270803.0,3371589.0,2023,0.0266769366930949,0.1663273526954013,1.9664727924179908,0.1603881518029624,0.9897619269463246,0.29305678232148824,0.02950793501478515,0.20667254819621822,0.29236282233907707,Weak
20.0,"""Al-Hilal"" Islamic Bank"", JSC",60315857.0,33092671.0,39308069.0,2037946.0,21007788.0,3122823.0,2023,0.05177449439208,0.148650728958232,16.23824723520643,0.3482962697520819,0.8385776716862418,0.3296575536491232,0.029055337554377118,0.45930347293091156,0.3202316836137981,Weak
